Transaction Description,Type,Category,Amount ($)
myntra charge,Expense,Shopping,590.74
Payment received: festival bonus,Income,Gift/Bonus,5836.75
Received b2b invoice payment,Income,Business Revenue,2799.0
kfc charge,Expense,Restaurants,554.33
metr ticket transaction,Expense,Transportation,284.8
Purchase at starbucks,Expense,Restaurants,274.63
ebay monthly bill,Expense,Shopping,930.5
indigo - order #3827,Expense,Travel,710.08
birthday gift money deposit received,Income,Gift/Bonus,7545.97
Income via crypto gain,Income,Investments,3620.56
BANk crEdit from DiViDEnd crEdIT,Income,Interest/Dividends,6711.9
parKing gaRaGe trANsaction,Expense,Transportation,752.21
Bank credit from office lease income,Income,Rent Income,6269.43
property lease payment credited to account,Income,Rent Income,9787.23
house rent deposit received,Income,Rent Income,4857.77
tradeR joE mOnthly bILL,Expense,Groceries,836.31
spotify - order #3830,Expense,Subscriptions,105.61
Payment to tripadvisor,Expense,Travel,793.34
Received holiday reward,Income,Gift/Bonus,9909.75
trader joe - order #2809,Expense,Groceries,776.76
PaiD KRoGer vi0a CarD,Expense,Groceries,213.81
Payment received: performance bonus,Income,Gift/Bonus,5475.66
Bank credit from b2b invoice payment,Income,Business Revenue,8835.07
FiVeRR paymEnt dEPosit reCeIved,Income,Freelance,2513.19
Paid urgent care via card,Expense,Health & Medical,60.52
birthday gift money6 credited to account,Income,Gift/Bonus,1887.84
Credited from holiday reward,Income,Gift/Bonus,132.69
ubere0ats charge,Expense,Restaurants,491.39
share sale profit credited to account,Income,Investments,2508.97
Payment received: share sale profit,Income,Investments,3484.34
Credited from property lease payment,Income,Rent Income,8464.48
coNTRACt pRoJecT payMeNT crEdite3d To AccouNt,Income,Freelance,4182.13
InCoMe vIa ShoP ReVEnue,Income,Business Revenue,5525.54
hospital - order #1194,Expense,Health & Medical,306.82
Paid netflix via card,Expense,Subscriptions,181.43
youtube premim transaction,Expense,Subscriptions,985.25
Credited rom house rent,Income,Rent Income,5600.42
amazon prime charge,Expense,Subscriptions,114.36
CredITEd frOm fIveRR pAyMent,Income,Freelance,7645.28
Bank credit from online sale,Income,Business Revenue,6623.13
Purchase at gym membership,Expense,Health & Medical,34.46
domino's pizza transaction,Expense,Restaurants,931.27
uber tr4ip monthly bill,Expense,Transportation,112.89
walgreens charge,Expense,Health & Medical,654.28
Reeived freelance gig,Income,Freelance,6574.38
2Payment to parking garage,Expense,Transportation,649.09
boOkINg.com montHly bilL,Expense,Travel,596.15
Credited from store return refund,Income,Refunds,8423.26
PAyMeNt to sTaRbUcks,Expense,Restaurants,780.12
BAnk crEdit FroM nse reTurn,Income,Investments,9312.4
Purchase at subway,Expense,Restaurants,294.04
airbnb - order #4806,Expense,Travel,985.47
office lease income deposit received,Income,Rent Income,9228.53
mcdonald carge,Expense,Restaurants,343.99
Paid amazon pRimE viA caRD,Expense,Subscriptions,191.87
booKIng.coM chaRGE,Expense,Travel,626.41
amazon refund credited to account,Income,Refunds,7102.55
online sale deposit received,Income,Business Revenue,9214.0
domino's pizza - order #1151,Expense,Restaurants,955.61
city water charge,Expense,Utilities,684.3
Bank credit from nse return,Income,Investments,7107.99
costco monthly bill,Expense,Groceries,873.47
Credited from paypal refund,Income,Refunds,5764.09
Bank credit from dividend credit,Income,Interest/Dividends,7273.21
uber trip charge,Expense,Transportation,454.67
Received share sale profit,Income,Investments,9775.0
Credited from upwork payout,Income,Freelance,4426.07
Income via cash prize,Income,Gift/Bonus,9083.71
office lease income deposit received,Income,Rent Income,6335.36
ReCeIVEd onLINe salE,Income,Business Revenue,8514.81
Income via crypto gain,Income,Investments,3504.76
Bank credit from upwork payout,Income,Freelance,5412.26
safeway transaction,Expense,Groceries,106.75
Paid hulu via card,Expense,Subscriptions,843.08
birthday gift money credited to account,Income,Gift/Bonus,1310.63
Bank credit from b2b invoice payment,Income,Business Revenue,7896.7
3Bank credit from monthly salry,Income,Salary,7716.39
Received bank interest,Income,Interest/Dividends,8079.59
PaymENt to ebAy,Expense,Shopping,854.66
Received monthly salary,Income,Salary,5576.24
Bp Gas mONThlY BIll,Expense,Transportation,620.92
Pay9ment to indigo,Expense,Travel,228.54
burger king charge,Expense,Restaurants,459.16
Purchase at ika,Expense,Shopping,411.41
airbnb transaction,Expense,Travel,330.96
Pu@rchase at pg&e bill,Expense,Utilities,55.63
Paid amazon.com via card,Expense,Shopping,203.82
Comcast - order #8952,Expense,Utilities,94.42
Credited fom freelance gig,Income,Freelance,1014.14
lyft ride charge,Expense,Transportation,39.21
walgreens transaction,Expense,Health & Medical,949.11
apple music monthly bill,Expense,Subscriptions,90.55
@Income via customer payment,Income,Business Revenue,481.35
Payment to lyft ride,Expense,Transportation,497.16
Received freelance gig,Income,Freelance,5805.43
Purchase at spectrum,Expense,Utilities,495.02
walmart grocery monthly bill,Expense,Groceries,122.98
Meijer CharGe,Expense,Groceries,748.54
urgent care - order #8383,Expense,Health & Medical,905.99
InCome via hOuse REnt,Income,Rent Income,7108.6
sPoTifY moNThLy bill,Expense,Subscriptions,657.26
publix - order #7477,Expense,Groceries,818.07
Credited from property lease payment,Income,Rent Income,8464.77
Payment to disney plus,Expense,Subscriptions,626.15
verzon charge,Expense,Utilities,199.72
city water - order #3968,Expense,Utilities,985.25
Payment received: festival bonus,Income,Gift/Bonus,4387.91
MUTuAl funD profit DepoSit rECEiVEd,Income,Investments,6886.92
cash prize deposit received,Income,Gift/Bonus,9309.08
Paid aldi via card,Expense,Groceries,793.33
Paid verizon via card,Expense,Utilities,96.65
Income via salary from google,Income,Salary,327.72
Payment received: office paycheck,Income,Salary,3865.23
Paid cvs pharmacy via card,Expense,Health & Medical,458.54
mcdonald transaction,Expense,Restaurants,426.82
Payment to verizon,Expense,Utilities,243.84
Received freelance gig,Income,Freelance,4705.16
Bank credit from cash prize,Income,Gift/Bonus,5730.5
InCoMe via UpworK payout,Income,Freelance,7279.61
Payment received: client transfer,Income,Freelance,3794.12
Received freelance gig,Income,Freelance,6926.94
tenant payment deposit received,Income,Rent Income,6219.44
t-mobile charge,Expense,Utilities,447.92
Payment received: house rent,Income,Rent Income,8513.5
ClienTTransFEr crEDiTeD to acCounT,Income,Freelance,746.15
Credited from company payroll,Income,Salary,6717.98
makemytrip - order #6178,Expense,Travel,790.42
Paid trader joe via card,Expense,Groceries,176.29
t-mobile carge,Expense,Utilities,736.33
Paid walgreens via card,Expense,Health & Medical,724.1
mcdonald - order #2100,Expense,Restaurants,110.95
gyM 9meMbeRsHIP monthly bill,Expense,Health & Medical,101.55
subway monthly bill,Expense,Restaurants,584.35
Bank credit from house rent,Income,Rent Income,6453.31
Paid pg&e bill via card,Expense,Utilities,872.24
PurCHasE at8 VerizoN,Expense,Utilities,829.98
PAyMeNt tO TargEt,Expense,Shopping,385.01
Received dividend credit,Income,Interest/Dividends,2615.08
spectrum monthly bill,Expense,Utilities,791.78
Paid grubhub via card,Expense,Restaurants,113.44
INCOMe via9 mONtHly SaLary,Income,Salary,7020.59
Payment received: online sale,Income,Business Revenue,716.28
Credited from customer pay9ment,Income,Business Revenue,7758.93
Credited from contract project payment,Income,Freelance,9397.75
booking.com charge,Expense,Travel,614.33
Payment to t-mobil0e,Expense,Utilities,692.33
amazoN.cOm - ORdER #6992,Expense,Shopping,546.26
Credited from monthly salary,Income,Salary,3430.06
makEmyTrIp tAnsaCTiON,Expense,Travel,590.89
netFlix mONThly bill,Expense,Subscriptions,50.16
store deposit credited to account,Income,Business Revenue,343.55
booking.com - order #6398,Expense,Travel,697.46
walgreens - order #4744,Expense,Health & Medical,710.37
BANk CrEdIt FROm OFfiCe leasE income,Income,Rent Income,2493.4
Bank credit from property lease payment,Income,Rent Income,2300.48
Credited from corporate payment,Income,Salary,6459.16
client transfer deposit received,Income,Freelance,9114.35
Income via freelance gig,Income,Freelance,4364.18
Bank credit from company payroll,Income,Salary,8109.06
Purchase at hospital,Expense,Health & Medical,523.67
Credited from salary from google,Income,Salary,2595.61
Payment to safeway,Expense,Groceries,226.85
disNey plus chArge,Expense,Subscriptions,379.94
Payment received: salary from google,Income,Salary,666.09
Bank credit from tenant payment,Income,Rent Income,4540.32
bAnK interest dEpoSit RECeived,Income,Interest/Dividends,3954.03
Purchase at urgent care,Expense,Health & Medical,329.09
5kfc chARge,Expense,Restaurants,676.22
festival bonus deposit received,Income,Gift/Bonus,2795.64
Payment received: contract project payment,Income,Freelance,1209.96
tripadvisor monthly bill,Expense,Travel,27.12
Payment to indigo,Expense,Travel,770.71
apPLe mUsiC tRAnSaction,Expense,Subscriptions,353.02
Income via corporate payment,Income,Salary,1728.89
RECeived FreeLaNCe gig,Income,Freelance,7909.23
apple music transaction,Expense,Subscriptions,742.54
FIvErR payment CrediTeD tO0 AcCounT,Income,Freelance,5557.36
urgent care monthly bill,Expense,Health & Medical,656.8
Payment received: store deposit,Income,Business Revenue,5237.9
Purchase at chevron,Expense,Transportation,613.13
comcast - order #7614,Expense,Utilities,235.71
chevron charge,Expense,Transportation,294.25
target charge,Expense,Shopping,434.96
PuRcHase at shELl OIl,Expense,Transportation,588.48
Received company payroll,Income,Salary,9314.41
performance bonus credited to account,Income,Gift/Bonus,2075.59
Purchase at amazon.com,Expense,Shopping,638.68
spectrum tra#nsaction,Expense,Utilities,984.24
Paid uber trip via card,Expense,Transportation,388.0
hous rent credited to account,Income,Rent Income,264.93
Paid makemytrip via card,Expense,Travel,630.61
Received fiverr payment,Income,Freelance,6596.24
Payment received: freelance gig,Income,Freelance,2953.65
Purchase at cvs pharmacy,Expense,Health & Medical,858.93
Payment received: house rent,Income,Rent Income,3917.23
credit card cashback deposit received,Income,Refunds,1123.66
PAymENT to beSt bUy,Expense,Shopping,414.42
CredIted frOM Monthly saLary,Income,Salary,9264.07
verizon - order #8924,Expense,Utilities,446.87
Income via dividend Credit,Income,Interest/Dividends,2284.23
domino's pi#zza charge,Expense,Restaurants,644.01
PAId amAZoN PRiMe via CarD,Expense,Subscriptions,392.04
Bank credit from amazon refund,Income,Refunds,6726.14
Payment to eijer,Expense,Groceries,148.93
disney plus - order #4681,Expense,Subscriptions,182.48
Cred6itEd fROm uPwoRk paYOUt,Income,Freelance,6692.79
Income via corporate payment,Income,Salary,1905.75
Credited from crypto gain,Income,Investments,1547.73
kroger monthly bill,Expense,Groceries,976.31
BoOkiNG.COm - orer #2982,Expense,Travel,437.03
Purchase at gym membership,Expense,Health & Medical,480.86
myntra charge,Expense,Shopping,146.78
house rent credited to account,Income,Rent Income,3574.48
Credited from cash prize,Income,Gift/Bonus,3647.47
pRopeRty leaSE Payment de5PoSit rEceIvEd,Income,Rent Income,9694.14
PAyMent To bp gas,Expense,Transportation,71.77
Payment to chevron,Expense,Transportation,662.22
Payment to cvs pharmacy,Expense,Health & Medical,339.71
Income via contract project payment,Income,Freelance,5852.24
Bank credit from b2b invoice payment,Income,Business Revenue,9452.61
Credited from office lease income,Income,Rent Income,8936.16
Payment t metro ticket,Expense,Transportation,846.77
Payment to airbnb,Expense,Travel,382.62
Paymen9t to costco,Expense,Groceries,831.25
walmart - order #6647,Expense,Shopping,351.57
comcast transaction,Expense,Utilities,704.71
BanK CrediT fROm fd iNteRest,Income,Interest/Dividends,8091.15
Paid hulu via card,Expense,Subscriptions,701.48
amazon prime charge,Expense,Subscriptions,515.24
bp gas charge,Expense,Transportation,923.18
RecEiVed inVesTmeNT Return,Income,Interest/Dividends,5803.32
Payment to walgreens,Expense,Health & Medical,353.59
Paid spOtiFy vIa caRD,Expense,Subscriptions,236.0
Bank credit from b2b invoice payment,Income,Business Revenue,9097.99
s0hop revenue credited to account,Income,Business Revenue,4891.22
Credited from birthday gift money,Income,Gift/Bonus,2696.35
Bank credit from property lease payment,Income,Rent Income,530.91
PAymenT recEIvEd: nse ReturN,Income,Investments,9198.43
Purchase at gym membership,Expense,Health & Medical,72.38
paypal reFuNd CrEDITed tO ACcOuNt,Income,Refunds,5700.95
Bank credit from fiverr payment,Income,Freelance,2841.24
apple music transaction,Expense,Subscriptions,191.11
Bank credit from dividend credit,Income,Interest/Dividends,120.31
Bank credit from paypal refund,Income,Refunds,5111.33
Credited from shop revenue,Income,Business Revenue,9373.38
PAiD tradeR joe VIA caRd,Expense,Groceries,566.73
Bp GaScharge,Expense,Transportation,376.64
Payment received: salary from google,Income,Salary,3610.55
Payment received: bank interest,Income,Interest/Dividends,3834.72
Payment received: house rent,Income,Rent Income,996.96
walgreens transaction,Expense,Health & Medical,393.16
Income via festival bonus,Income,Gift/Bonus,9582.36
Paid hulu via card,Expense,Subscriptions,867.44
Credited from b2b invoice payment,Income,Business Revenue,5105.84
comcast charge,Expense,Utilities,243.15
Cvs pHArmAcy Monthly BilL,Expense,Health & Medical,48.43
amazon.com monthly bill,Expense,Shopping,149.85
Payment to apple music,Expense,Subscriptions,430.94
chevron transaction,Expense,Transportation,225.38
Received amazon refund,Income,Refunds,539.91
compAny payROLl creDitEd to acCounT,Income,Salary,537.39
meijEr traNsaCtIon,Expense,Groceries,568.26
amAzon.CoM mOnthLY bill,Expense,Shopping,283.04
InCome viA perfOrmanCe bONus,Income,Gift/Bonus,9055.37
Income via paypal refund,Income,Refunds,4657.7
Received monthly salary,Income,Salary,257.62
Received property lease 1payment,Income,Rent Income,7909.95
Payment received: mutual fund profit,Income,Investments,9015.33
Bank credit from stock dividend,Income,Investments,1711.2
Bank credit from stock dividend,Income,Investments,8404.05
Credited from property lease payment,Income,Rent Income,5333.5
store return refund credited to account,Income,Refunds,7438.91
Payment received: salary from oogle,Income,Salary,3649.8
Received freelance gig,Income,Freelance,2098.82
Payment received: corporate payment,Income,Salary,3212.79
Received nse return,Income,Investments,2334.87
online sale deposit received,Income,Business Revenue,5215.17
Purchase at costco,Expense,Groceries,5.84
Bank credit from house rent,Income,Rent Income,8561.43
fiverr payment credited to account,Income,Freelance,7799.29
Payment5 to verizon,Expense,Utilities,123.77
Received store deposit,Income,Business Revenue,9589.19
PaYMeNT TO pArking garagE,Expense,Transportation,304.47
INcome via mutuaL fuNd profit,Income,Investments,1736.3
Payment to urgent care,Expense,Health & Medical,173.2
Purchase at costco,Expense,Groceries,980.35
eleCTRIc co-oP TraNSaCTION,Expense,Utilities,215.3
boOking.cOM moNthly bil8L,Expense,Travel,807.18
hULu charGE,Expense,Subscriptions,832.89
Bank credit fro corporate payment,Income,Salary,4250.7
PaymEnt receIved: FeStivaL bonus,Income,Gift/Bonus,3779.78
Income via fd interest,Income,Interest/Dividends,8196.06
wAlgreeNs Charge,Expense,Health & Medical,413.36
shop revenue credited to account,Income,Business Revenue,5538.12
hulu Monthly biLl,Expense,Subscriptions,555.54
bp gas monthly bill,Expense,Transportation,19.25
Payment to chevron,Expense,Transportation,33.55
aldi charge,Expense,Groceries,296.95
Payment to walgreens,Expense,Health & Medical,269.11
paypal refund credited to account,Income,Refunds,3692.88
CreditED froM Bank interest,Income,Interest/Dividends,4407.89
1amazon.com charge,Expense,Shopping,420.78
Purchase at4 comcast,Expense,Utilities,660.62
ReceivEd onlinE sale,Income,Business Revenue,8389.47
Income via store deposit,Income,Business Revenue,5786.84
fiverr payment deposit received,Income,Freelance,2556.68
Received cash prize,Income,Gift/Bonus,7397.63
Income via bank refund,Income,Refunds,7932.57
CrEdiTeD froM shop reVenUe,Income,Business Revenue,2803.76
KFC - orDer #7485,Expense,Restaurants,101.94
Paid city water via card,Expense,Utilities,317.47
burger king - order #8514,Expense,Restaurants,104.93
PurchAse at bookINg.com,Expense,Travel,779.93
Payment received: office lease income,Income,Rent Income,7134.48
Received store deposit,Income,Business Revenue,6489.13
Credited from customer payment,Income,Business Revenue,3458.51
Payment received: bank interest,Income,Interest/Dividends,3904.81
contract project payment deposit received,Income,Freelance,2273.9
Credited from bank refund,Income,Refunds,6398.82
Paid comcast via card,Expense,Utilities,155.17
Purchase at cvs pharmacy,Expense,Health & Medical,73.25
Received mutual fund profit,Income,Investments,4140.02
amazon prime charge,Expense,Subscriptions,287.57
Income via salary from google,Income,Salary,5134.26
Received fiverr payment,Income,Freelance,6662.75
PayMent ReceIved: mutual fUnd prOfit,Income,Investments,9539.82
Bank credit from tenant payment,Income,Rent Income,6473.15
store deposit credited to account,Income,Business Revenue,4712.01
amazon.com charge,Expense,Shopping,239.2
chevron charge,Expense,Transportation,620.55
Payment re3ceived: upwork payout,Income,Freelance,3392.03
Paid amazon.com via card,Expense,Shopping,532.57
Payment to flipkart,Expense,Shopping,855.09
Income via birthday gift money,Income,Gift/Bonus,7887.45
IncomE Via oFfICE LeaSe income,Income,Rent Income,6583.97
tenant payment deposit received,Income,Rent Income,3583.67
macys chARG2e,Expense,Shopping,910.46
PaId tArgEt viA Card,Expense,Shopping,250.93
t9ripadvisor charge,Expense,Travel,498.74
HoUsE REnt CREditED to aCcoUnt,Income,Rent Income,9199.71
Credited from nse return,Income,Investments,3775.52
Bank credit from holiday reward,Income,Gift/Bonus,9657.06
pg&e bill charge,Expense,Utilities,486.96
Purchase at chevron,Expense,Transportation,635.0
Payment received: b2b invoice payment,Income,Business Revenue,9464.24
store deposit deposit received,Income,Business Revenue,3617.56
Credited from birthday gift money,Income,Gift/Bonus,1189.24
Payment tO MACys,Expense,Shopping,121.21
Purchase at ubereats,Expense,Restaurants,64.16
Bank credit from property lease payment,Income,Rent Income,5103.0
spotify monthly bill,Expense,Subscriptions,689.62
urgent CAre - ord0eR #9120,Expense,Health & Medical,999.71
costco transacion,Expense,Groceries,880.79
PurchasE at lyFt rid7E,Expense,Transportation,994.49
Bank credit from company payroll,Income,Salary,7081.76
house rent deposit received,Income,Rent Income,4650.8
verizon monthly bill,Expense,Utilities,359.78
Bank credit from performance bonus,Income,Gift/Bonus,1631.67
Received share sale profit,Income,Investments,8077.83
freelaNCe gig deposit receIVed,Income,Freelance,835.67
Purchase at ugent car1e,Expense,Health & Medical,388.49
hOspiTal monthly bill,Expense,Health & Medical,179.14
Payment received: bank refund,Income,Refunds,364.27
meijer monthly bill,Expense,Groceries,188.71
speCTRum - 1Order #6803,Expense,Utilities,942.13
ubereats charge,Expense,Restaurants,745.7
indigo - order #8142,Expense,Travel,671.94
Payment received: store deposit,Income,Business Revenue,6426.85
amazon prime monthly bill,Expense,Subscriptions,592.1
Paid parking g6arage via card,Expense,Transportation,119.68
yOutUBe premiuM MoNthLy bIlL,Expense,Subscriptions,979.6
Credited from monthly salary,Income,Salary,6819.85
airbnb charge,Expense,Travel,27.19
Income via amazon refund,Income,Refunds,3849.38
Income via birthday gift money,Income,Gift/Bonus,6753.89
Paid trader joe via card,Expense,Groceries,798.79
Purchase at publix,Expense,Groceries,117.71
Received office lease income,Income,Rent Income,3273.95
publix montHlY bill,Expense,Groceries,541.39
PAId bEst buy VIa cArd,Expense,Shopping,719.26
ReCEiVEd HOLiday reWArd,Income,Gift/Bonus,6864.82
store deposit credited to account,Income,Business Revenue,7072.83
CredItEd from SaLaRy from goOGle,Income,Salary,8354.77
Purchase aT city waTeR,Expense,Utilities,603.23
Payment to starbucks,Expense,Restaurants,434.96
walgreens monthly bill,Expense,Health & Medical,750.85
Income via house rent,Income,Rent Income,2837.68
crypto gain credited to account,Income,Investments,352.71
Bank credit from salary from google,Income,Salary,9394.6
Payment received: paypal refund,Income,Refunds,599.21
burger king charge,Expense,Restaurants,784.43
electric co-op charge,Expense,Utilities,440.69
kfc monthly bill,Expense,Restaurants,291.66
pg&e bill monthly bill,Expense,Utilities,500.9
Received upwork payout,Income,Freelance,4411.02
AmaZon refunD CrediteD To aCcOUNt,Income,Refunds,5237.4
Credited from bank interest,Income,Interest/Dividends,7639.15
Received office paycheck,Income,Salary,1191.1
property lease payment dep4osit received,Income,Rent Income,5418.01
Payment to pg&e bill,Expense,Utilities,758.05
Received crypto gain,Income,Investments,6259.42
Pa8yment to CVs pHArmacy,Expense,Health & Medical,319.58
ebay - order #1096,Expense,Shopping,224.68
house rent deposit received,Income,Rent Income,439.37
parking garage transaction,Expense,Transportation,145.52
bank interest deposit received,Income,Interest/Dividends,1376.78
oyo rooms - order #7130,Expense,Travel,97.57
Purchase at subway,Expense,Restaurants,129.13
Payment received: mutual fund profit,Income,Investments,430.7
grubhub tansaction,Expense,Restaurants,465.1
StarBUCks charGE,Expense,Restaurants,426.27
Bank credit from property lease payment,Income,Rent Income,6235.13
BP gas - OrD3er #7061,Expense,Transportation,625.8
Bank credit from fiverr payment,Income,Freelance,7931.91
hulu - rder #9241,Expense,Subscriptions,942.31
bp gas - order #3563,Expense,Transportation,178.25
BanK creDit frOm cuStomEr PAymEnt,Income,Business Revenue,328.39
Income via customer payment,Income,Business Revenue,4394.52
Payment to kfc,Expense,Restaurants,948.85
Bank credit from store deposit,Income,Business Revenue,114.57
walmart transaction,Expense,Shopping,505.93
property lease payment credited to account,Income,Rent Income,1098.11
dOminO'S pizza - orDer #8868,Expense,Restaurants,899.22
Bank credi6t from upwork payout,Income,Freelance,2125.35
walmart grocery - order #5287,Expense,Groceries,384.13
walgreens monthly bill,Expense,Health & Medical,471.56
Income via online sale,Income,Business Revenue,8700.65
comcast monthly bill,Expense,Utilities,929.91
makemytrip transaction,Expense,Travel,512.32
Best buy - ORDer #4695,Expense,Shopping,409.82
contract project payment deposit received,Income,Freelance,6146.18
aMAzoN.cOm TRansaCtIoN,Expense,Shopping,431.23
office lease income credited to account,Income,Rent Income,2606.81
Purch6ase at makemytrip,Expense,Travel,60.28
BooKInG.com - orDeR #3098,Expense,Travel,235.35
Purchase at hospital,Expense,Health & Medical,984.43
Received customer payment,Income,Business Revenue,8321.15
amazon.com monthly bill,Expense,Shopping,982.46
mutual fund profit credited to account,Income,Investments,780.84
Purchase at netflix,Expense,Subscriptions,868.88
PurchASe at ebay,Expense,Shopping,592.34
kroger - order #9708,Expense,Groceries,508.38
domin#o's pizza - order #6511,Expense,Restaurants,122.52
Bank credit from amazon refund,Income,Refunds,9956.06
Income via performance bonus,Income,Gift/Bonus,9603.38
parking garage - order #6738,Expense,Transportation,778.74
comcast transaction,Expense,Utilities,402.32
Purchase at comcast,Expense,Utilities,585.76
PaymENT To gRUBHu#b,Expense,Restaurants,481.14
property lease payment deposit received,Income,Rent Income,3995.3
Bank credit from freelance gig,Income,Freelance,7839.65
Payment received: festival bonus,Income,Gift/Bonus,5817.93
Received company payroll,Income,Salary,1351.11
mutual fund profit credited to account,Income,Investments,4383.29
Payment @to ikea,Expense,Shopping,57.03
EBay charge,Expense,Shopping,235.37
kfc - order #1367,Expense,Restaurants,33.91
m6yntra charge,Expense,Shopping,915.31
myntra monthly bill,Expense,Shopping,326.42
PAym@ENt to subwaY,Expense,Restaurants,446.96
NSe ReturN cReDited to acCoUnt,Income,Investments,1841.31
Hulu cHARgE,Expense,Subscriptions,603.84
Oyo ROoms traNsActiOn,Expense,Travel,564.8
Income via bank refund,Income,Refunds,7353.52
Payment received: amazon refund,Income,Refunds,659.8
company payroll credited to account,Income,Salary,4689.2
REceIVeD stOCk dIviDENd,Income,Investments,8927.75
Payment to pg&e bill,Expense,Utilities,322.22
StarbuckS - ORder #8403,Expense,Restaurants,605.56
clienT tRansfeR dePOsiT recEived,Income,Freelance,2594.83
Credited from office paycheck,Income,Salary,3073.22
Inco8me via share sale profit,Income,Investments,8912.6
Payment received: company payroll,Income,Salary,9645.12
t-mobile - order #4540,Expense,Utilities,614.44
spotify charge,Expense,Subscriptions,208.05
costco monthly bill,Expense,Groceries,516.67
spectrum charge,Expense,Utilities,607.91
domino's pizza monthly bill,Expense,Restaurants,24.71
Purchase at urgent care,Expense,Health & Medical,804.62
Credited from office lease income,Income,Rent Income,8695.66
contract project payment deposit received,Income,Freelance,1865.5
Purchase at flipkart,Expense,Shopping,224.42
house rent credited to account,Income,Rent Income,8097.47
Income ViA nse REtuRn,Income,Investments,7105.24
CreDiteD frOm moNTHly saLry,Income,Salary,1380.56
Purchase at macys,Expense,Shopping,244.68
FEsTIvAl boNus cReDiTeD To accOunt,Income,Gift/Bonus,7638.88
pArking garage cHarGe,Expense,Transportation,478.08
SafEway trAnsAcTIon,Expense,Groceries,767.12
chevron - order #9084,Expense,Transportation,62.16
PuRcHaSe at PuBLIX,Expense,Groceries,713.19
Purchase at costco,Expense,Groceries,237.92
b2b invoice payment deposit received,Income,Business Revenue,6050.1
AI2Rbnb tranSActION,Expense,Travel,121.89
spotify - order 8#5336,Expense,Subscriptions,935.84
holiday reward credited to account,Income,Gift/Bonus,7292.01
amazon refund credited to account,Income,Refunds,3680.94
netflix - order #2388,Expense,Subscriptions,666.4
chevron transaction,Expense,Transportation,742.13
tripadvisor - order #2048,Expense,Travel,523.95
Paid domino's pizza via card,Expense,Restaurants,584.85
Bank credit from performance onus,Income,Gift/Bonus,6615.72
Income via client transfer,Income,Freelance,1565.66
starbucks - order #7190,Expense,Restaurants,150.24
hosPitA trAnsactIon,Expense,Health & Medical,620.37
metro TiCket monthLy bill,Expense,Transportation,538.79
Purchase at t-mobile,Expense,Utilities,184.14
Payment received: fd interest,Income,Interest/Dividends,7671.84
Bank credit from tenant payment,Income,Rent Income,5729.38
bank interest deposit received,Income,Interest/Dividends,7752.54
spotify monthly bill,Expense,Subscriptions,947.44
ELectriC Co-oP transaction,Expense,Utilities,592.58
CrediTeD FRom corporate pAymenT,Income,Salary,5110.86
PAyMent tO uBeR trIp,Expense,Transportation,717.12
Bank credit from holiday rward,Income,Gift/Bonus,7865.69
Receiv@ed credit card cashback,Income,Refunds,6005.58
target - order #6357,Expense,Shopping,721.65
PAymenT reCeived7: Salary from GOoGle,Income,Salary,4925.31
Payment to spectrum,Expense,Utilities,945.57
hospital transaction,Expense,Health & Medical,26.02
Payment received: credit card cashback,Income,Refunds,577.42
RECeivEd banK interE8st,Income,Interest/Dividends,1216.28
Received contract project payment,Income,Freelance,3524.09
Paid best buy via card,Expense,Shopping,624.9
PUrChase at walmaRT grocery,Expense,Groceries,511.25
PaymeNt to shell Oil,Expense,Transportation,80.41
Income via client transfer,Income,Freelance,1824.92
appLE music tRansaCTioN,Expense,Subscriptions,221.9
Purchase at parking garage,Expense,Transportation,74.4
ike charge,Expense,Shopping,244.59
wlmart charge,Expense,Shopping,785.41
lyft ride transaction,Expense,Transportation,333.58
PayMenT To KfC,Expense,Restaurants,156.93
div#idend credit credited to account,Income,Interest/Dividends,6415.84
Purchase at meijer,Expense,Groceries,834.4
Credited fro0m fd interest,Income,Interest/Dividends,6332.39
Paid tripadvisor via card,Expense,Travel,630.55
Payment to uber trip,Expense,Transportation,943.1
birtHDAy gIft monEy dEpoSiT re0CeIveD,Income,Gift/Bonus,6898.35
safeway transaction,Expense,Groceries,99.35
comcast transaction,Expense,Utilities,242.34
amazon refund credited to account,Income,Refunds,2994.43
parking garage charge,Expense,Transportation,862.27
Received salary from google,Income,Salary,7120.98
propErtY Lease pAyMenT cReditEd to ACcOunt,Income,Rent Income,8973.19
parking GaragE mONtHly bIlL,Expense,Transportation,530.19
Credited from investment return,Income,Interest/Dividends,6880.31
Received shop revenue,Income,Business Revenue,5197.07
PAid ikea vIa CarD,Expense,Shopping,704.04
subway - order #6042,Expense,Restaurants,979.59
netflix transaction,Expense,Subscriptions,597.62
tripadvisor - order #507,Expense,Travel,649.3
Payment to indigo,Expense,Travel,165.8
Puchase at shell oil,Expense,Transportation,173.83
Paid myntra via card,Expense,Shopping,744.31
Credited from stock dividend,Income,Investments,7365.05
Received nse return,Income,Investments,1845.49
airbnb transaction,Expense,Travel,398.72
tenant payment credited o account,Income,Rent Income,8290.62
PaymEnt t2o meijeR,Expense,Groceries,789.46
Payment to lyft ride,Expense,Transportation,300.78
PurchaSE AT Urgent cArE,Expense,Health & Medical,129.56
crypto gain credited to account,Income,Investments,5653.65
RECEIved fivERR Payment,Income,Freelance,873.95
share 8sale profit deposit received,Income,Investments,6871.66
aldi charge,Expense,Groceries,244.76
